"47.624418, -122.365363"
"47.614702, -122.352485"
"47.625238, -122.326537"
"47.649259, -122.346528"
"47.649259, -122.346528"
"47.627352, -122.342433"
"47.644722, -122.324400"
"47.622237, -122.320768"
"47.622237, -122.320768"
"47.625820, -122.360195"
"47.734099, -122.303538"
"47.775654, -122.346185"
"47.627352, -122.342433"
"47.663300, -122.302200"
"47.627352, -122.342433"
"47.615777, -122.332529"
"47.659820, -122.314188"
"47.624418, -122.365363"
"47.620368, -122.319224"
"47.677120, -122.317337"
"47.632438, -122.347138"
"47.703762, -122.358053"
"47.662344, -122.319876"
"47.622220, -122.330887"
"47.613120, -122.319787"
"47.624420, -122.326537"
"47.556376, -122.386932"
"47.608182, -122.328202"
"47.630795, -122.345982"
"47.556376, -122.386932"
"47.625271, -122.348685"
"47.625520, -122.348811"
"47.775654, -122.346185"
"47.614820, -122.344638"
"47.614231, -122.344384"
"47.614270, -122.344432"
"47.626717, -122.342737"
"47.613120, -122.319787"
"47.653998, -122.345738"
"47.634073, -122.342338"
"47.637497, -122.324792"
"47.668620, -122.376639"
"47.730077, -122.292537"
"47.568930, -122.370537"
"47.613120, -122.313831"
"47.700120, -122.355339"
"47.725584, -122.355466"
"47.614820, -122.344638"
"47.614820, -122.344638"
"47.627368, -122.341690"
"47.627324, -122.341754"
"47.597520, -122.323237"
"47.677350, -122.354139"
"47.617576, -122.351990"
"47.622602, -122.325272"
"47.669320, -122.304237"
"47.636920, -122.325837"
"47.584600, -122.300500"
"47.705808, -122.331184"
"47.715520, -122.296239"
"47.668589, -122.387500"
"47.627651, -122.342600"
"47.717000, -122.301500"
"47.668620, -122.376639"
"47.662891, -122.347238"
"47.668620, -122.376448"
"47.623463, -122.354779"
"47.520403, -122.335596"
"47.649900, -122.350811"
"47.649900, -122.350811"
"47.668320, -122.299537"
"47.654334, -122.370382"
"47.615580, -122.320082"
"47.612716, -122.348835"
"47.690827, -122.353755"
"47.556391, -122.283535"
"47.633900, -122.347600"
"47.627382, -122.341647"
"47.680426, -122.324060"
"47.611220, -122.340523"
"47.664029, -122.316155"
"47.703120, -122.325136"
"47.610100, -122.324039"
"47.603600, -122.325600"
"47.659520, -122.342613"
"47.616820, -122.307336"
"47.616820, -122.307336"
"47.616820, -122.307336"
"47.616820, -122.307336"
"47.617520, -122.345338"
"47.616820, -122.307336"
"47.607692, -122.327833"
"47.621264, -122.359240"
"47.613220, -122.324337"
"47.611600, -122.305600"
"47.615491, -122.349767"
"47.619257, -122.322168"
"47.541200, -122.275000"
"47.614849, -122.344605"
"47.621367, -122.322037"
"47.612528, -122.328236"
"47.638320, -122.349538"
"47.617589, -122.318816"
"47.715594, -122.296135"
"47.723404, -122.354844"
"47.612977, -122.332850"
"47.612962, -122.332742"
"47.614163, -122.345483"
"47.541200, -122.275000"
"47.619257, -122.322168"
"47.625593, -122.344938"
"47.682776, -122.376988"
"47.626080, -122.342682"
"47.667829, -122.376537"
"47.578693, -122.311157"
"47.613120, -122.313831"
"47.619257, -122.322168"
"47.630255, -122.342338"
"47.739078, -122.342741"
"47.739179, -122.342806"
"47.739056, -122.342699"
"47.556391, -122.283535"
"47.611877, -122.307551"
"47.690535, -122.397169"
"47.614163, -122.345483"
"47.620097, -122.357829"
"47.630737, -122.346497"
"47.618647, -122.309160"
"47.672988, -122.375121"
"47.611299, -122.322893"
"47.562902, -122.385437"
"47.630200, -122.321000"
"47.614857, -122.313151"
"47.632194, -122.352039"
"47.654924, -122.350209"
"47.711696, -122.326477"
"47.611600, -122.305600"
"47.614820, -122.344638"
"47.615622, -122.326755"
"47.663986, -122.316177"
"47.668599, -122.396185"
"47.668599, -122.396185"
"47.668599, -122.396185"
"47.668599, -122.396185"
"47.668599, -122.396185"
"47.637445, -122.371372"
"47.675620, -122.290337"
"47.615081, -122.341787"
"47.620223, -122.322206"
"47.618589, -122.299719"
"47.680426, -122.324060"
"47.767632, -122.345377"
"47.615622, -122.326755"
"47.612673, -122.323344"
"47.630037, -122.346209"
"47.539800, -122.387800"
"47.618720, -122.346438"
"47.726508, -122.354994"
"47.726536, -122.355037"
"47.646077, -122.376194"
"47.641220, -122.374839"
"47.615551, -122.315855"
"47.541300, -122.312900"
"47.605310, -122.319115"
"47.686952, -122.376640"
"47.605310, -122.319115"
"47.634073, -122.342338"
"47.615820, -122.352238"
"47.615100, -122.344700"
"47.665806, -122.317593"
"47.712520, -122.344739"
"47.619992, -122.323945"
"47.611277, -122.323094"
"47.614582, -122.328708"
"47.613120, -122.313831"
"47.610604, -122.307497"
"47.613120, -122.313831"
"47.659820, -122.314188"
"47.607444, -122.340254"
"47.654120, -122.352097"
"47.520302, -122.335725"
"47.614409, -122.328601"
"47.614510, -122.328687"
"47.616376, -122.315812"
"47.649900, -122.350811"
"47.622237, -122.320768"
"47.665951, -122.377503"
"47.615622, -122.326755"
"47.541200, -122.275000"
"47.541200, -122.275000"
"47.541200, -122.275000"
"47.702484, -122.355573"
"47.624418, -122.365363"
"47.649259, -122.346528"
"47.623565, -122.323037"
"47.613120, -122.317894"
"47.614220, -122.319117"
"47.708628, -122.322921"
"47.628886, -122.320426"
"47.562671, -122.380131"
"47.596961, -122.332134"
"47.626717, -122.342737"
"47.616940, -122.352505"
"47.626080, -122.342682"
"47.633465, -122.280036"
"47.617520, -122.345338"
"47.700120, -122.355339"
"47.649259, -122.346528"
"47.657880, -122.316437"
"47.611820, -122.330037"
"47.622404, -122.326519"
"47.661558, -122.314374"
"47.677120, -122.319902"
"47.626399, -122.353470"
"47.661320, -122.314237"
"47.643520, -122.347238"
"47.600101, -122.333944"
"47.739092, -122.342849"
"47.739092, -122.342806"
"47.620277, -122.319537"
"47.620339, -122.319911"
"47.619257, -122.322168"
"47.607692, -122.327833"
"47.663300, -122.302200"
"47.650542, -122.321749"
"47.670100, -122.376300"
