Number,Length (mi)[2],Length (km),Southern or western terminus,Northern or eastern terminus,Formed,Removed,Notes
I0086 !I-86,62.85,101.15,"West Heyburn, Idaho (I-84)","Pocatello, Idaho (I-15)",1980,current,"Idaho only
Associated routes: none"
I0086 !I-86,183.56,295.41,"East Erie, Pennsylvania (I-90)","Woodbury, New York (I-87 future)",1999,current,"2 states served: Pennsylvania, New York
Associated routes: none"
I0087 !I-87,333.49,536.7,New York City (I-278),"Champlain, New York (A-15 in Canada)",1957,current,"New York only
Associated routes: I-287, I-587, I-787"
I0088 !I-88,140.6,226.3,"West Barstow, Illinois (I-80)","Hillside, Illinois (I-290)",1987,current,"Illinois only
Associated routes: none"
I0088 !I-88,117.75,189.5,"East Binghamton, New York (I-81)","Schenectady, New York (I-90)",1968,current,"New York only
Associated routes: none"
I0089 !I-89,191.12,307.58,"Bow, New Hampshire (I-93)","Highgate Springs, Vermont (Route 133 in Canada / future A-35)",1960,current,"2 states served: New Hampshire, Vermont
Associated route: I-189"
I0090 !I-90,"3,101.77","4,991.81","Seattle, Washington (WA 519)","Boston, Massachusetts (MA 1A)",1956,current,"13 states served: WA, ID, MT, WY, SD, MN, WI, IL, IN, OH, PA, NY, MA
Associated routes: I-190, I-290, I-390, I-490, I-590, I-690, I-790, I-890, 
I-990"
I0091 !I-91,290.37,467.31,"New Haven, Connecticut/North Haven, Connecticut (I-95)","Derby Line, Vermont (A-55 in Canada)",1958,current,"3 states served: Connecticut, Massachusetts, Vermont
Associated routes: I-291, I-391, I-691"
I0093 !I-93,189.95,305.69,"Canton, Massachusetts (I-95)","St. Johnsbury, Vermont (I-91)",1957,current,"3 states served: Massachusetts, New Hampshire, Vermont
Associated routes: I-293, I-393"
I0094 !I-94,"1,585.20","2,551.13","Billings, Montana (I-90)","Port Huron, Michigan (Hwy 402 in Canada)",1956,current,"7 states served: MT, ND, MN, WI, IL, IN, MI
Associated routes: I-194, I-294, I-394, I-494, I-694, I-794, I-894"
I0095 !I-95,"1,925.74","3,099.18","Miami, Florida (US 1)","Houlton, Maine (Route 95 in Canada)",1957,current,"15 states served: FL, GA, SC, NC, VA, MD, DE, PA, NJ, NY, CT, RI, MA, NH, ME
Associated routes: I-195, I-295, I-395, I-495, I-595, I-695, I-795, I-895"
I0096 !I-96,192.06,309.09,"Muskegon, Michigan (US 31)","Detroit, Michigan (I-75)",1959,current,"Michigan only
Associated routes: I-196, I-296, I-496, I-696"
I0097 !I-97,17.62,28.36,"Annapolis, Maryland (US 50)","Baltimore, Maryland (I-695 / I-895)",1987,current,"Maryland only
Associated routes: none"
I0099 !I-99,98.86,159.1,"Bedford, Pennsylvania (I-70 / I-76)","Painted Post, New York (I-86)",1998,current,"Unfinished Pennsylvania section: Bellefonte, Pennsylvania (I-80) to New York 
border near Lawrenceville, Pennsylvania (US 15)
2 states served: Pennsylvania, New York
Associated routes: none"
